source_file,source_sheet,source_cell,source_row_offset,source_col_offset,destination_file,destination_sheet,destination_cell,destination_row_offset,destination_col_offset
src.xlsx,Sheet1,B895,0,1,dst.xlsx,Sheet1,C114,0,2
src.xlsx,Sheet1,F849,-1,2,dst.xlsx,Sheet1,H440,-1,0
src.xlsx,Sheet1,B761,1,-1,dst.xlsx,Sheet1,A355,-3,-3
src.xlsx,Sheet1,C280,3,0,dst.xlsx,Sheet1,D275,-2,1
src.xlsx,Sheet1,F717,3,3,dst.xlsx,Sheet1,B957,2,-2
src.xlsx,Sheet1,C527,2,-3,dst.xlsx,Sheet1,I214,-2,3
src.xlsx,Sheet1,D383,-3,2,dst.xlsx,Sheet1,A371,0,-3
src.xlsx,Sheet1,I125,0,3,dst.xlsx,Sheet1,J705,0,2
src.xlsx,Sheet1,B6,2,3,dst.xlsx,Sheet1,E328,-3,1
src.xlsx,Sheet1,D366,-1,-1,dst.xlsx,Sheet1,E164,1,3
src.xlsx,Sheet1,F825,-1,3,dst.xlsx,Sheet1,F628,-3,-2
src.xlsx,Sheet1,F226,3,0,dst.xlsx,Sheet1,F341,-2,0
src.xlsx,Sheet1,A335,1,-2,dst.xlsx,Sheet1,J799,0,-3
src.xlsx,Sheet1,D998,2,1,dst.xlsx,Sheet1,B931,2,2
src.xlsx,Sheet1,I770,-1,1,dst.xlsx,Sheet1,D743,-1,1
src.xlsx,Sheet1,E233,-2,3,dst.xlsx,Sheet1,G397,2,-1
src.xlsx,Sheet1,I665,0,-2,dst.xlsx,Sheet1,E836,-3,-2
src.xlsx,Sheet1,I899,0,1,dst.xlsx,Sheet1,H752,-3,-3
src.xlsx,Sheet1,C339,-3,-1,dst.xlsx,Sheet1,A833,-3,2
src.xlsx,Sheet1,G176,0,-1,dst.xlsx,Sheet1,I345,2,3
src.xlsx,Sheet1,J705,2,-1,dst.xlsx,Sheet1,A485,-1,2
src.xlsx,Sheet1,B246,1,1,dst.xlsx,Sheet1,D635,-2,2
src.xlsx,Sheet1,I249,3,1,dst.xlsx,Sheet1,F147,0,-2
src.xlsx,Sheet1,A182,-2,-2,dst.xlsx,Sheet1,J835,0,-2
src.xlsx,Sheet1,E551,-3,0,dst.xlsx,Sheet1,B698,-3,3
src.xlsx,Sheet1,J775,-1,2,dst.xlsx,Sheet1,E244,2,-1
src.xlsx,Sheet1,H544,3,-3,dst.xlsx,Sheet1,E19,1,2
src.xlsx,Sheet1,F58,-3,-1,dst.xlsx,Sheet1,E521,1,2
src.xlsx,Sheet1,B974,3,-2,dst.xlsx,Sheet1,F283,-3,2
src.xlsx,Sheet1,C833,3,-1,dst.xlsx,Sheet1,F24,-2,1
src.xlsx,Sheet1,A93,-2,-2,dst.xlsx,Sheet1,D488,-2,0
src.xlsx,Sheet1,G598,-1,-1,dst.xlsx,Sheet1,D952,2,-1
src.xlsx,Sheet1,I502,-3,1,dst.xlsx,Sheet1,I102,0,-3
src.xlsx,Sheet1,J393,1,1,dst.xlsx,Sheet1,H693,1,1
src.xlsx,Sheet1,C19,0,-3,dst.xlsx,Sheet1,C103,1,1
src.xlsx,Sheet1,H270,2,-3,dst.xlsx,Sheet1,G322,-2,-2
src.xlsx,Sheet1,E421,2,1,dst.xlsx,Sheet1,H627,0,3
src.xlsx,Sheet1,E870,-1,3,dst.xlsx,Sheet1,G335,1,-2
src.xlsx,Sheet1,I929,-3,-3,dst.xlsx,Sheet1,D351,0,-1
src.xlsx,Sheet1,C961,-2,3,dst.xlsx,Sheet1,H516,2,1
src.xlsx,Sheet1,H349,-1,3,dst.xlsx,Sheet1,F635,-1,-3
src.xlsx,Sheet1,H973,2,-2,dst.xlsx,Sheet1,C251,-1,0
src.xlsx,Sheet1,F682,2,-3,dst.xlsx,Sheet1,H410,1,3
src.xlsx,Sheet1,E113,3,0,dst.xlsx,Sheet1,A479,3,-2
src.xlsx,Sheet1,G707,3,-2,dst.xlsx,Sheet1,E777,0,1
src.xlsx,Sheet1,H236,2,-1,dst.xlsx,Sheet1,J941,3,-1
src.xlsx,Sheet1,E192,0,-3,dst.xlsx,Sheet1,E492,0,1
src.xlsx,Sheet1,F968,1,0,dst.xlsx,Sheet1,I47,-1,-3
src.xlsx,Sheet1,B532,2,-1,dst.xlsx,Sheet1,F530,1,1
src.xlsx,Sheet1,D744,-2,-2,dst.xlsx,Sheet1,I700,2,-1
src.xlsx,Sheet1,I741,0,-1,dst.xlsx,Sheet1,A67,-3,1
src.xlsx,Sheet1,B452,-3,-3,dst.xlsx,Sheet1,A215,-1,-1
src.xlsx,Sheet1,E722,1,0,dst.xlsx,Sheet1,G47,1,3
src.xlsx,Sheet1,E265,-1,0,dst.xlsx,Sheet1,G700,0,-1
src.xlsx,Sheet1,C309,3,-2,dst.xlsx,Sheet1,H640,-3,-3
src.xlsx,Sheet1,H700,-1,3,dst.xlsx,Sheet1,A661,2,0
src.xlsx,Sheet1,G602,1,-2,dst.xlsx,Sheet1,A836,0,0
src.xlsx,Sheet1,F867,3,2,dst.xlsx,Sheet1,A155,-1,3
src.xlsx,Sheet1,B567,-3,1,dst.xlsx,Sheet1,J533,1,0
src.xlsx,Sheet1,J340,0,-2,dst.xlsx,Sheet1,C371,2,0
src.xlsx,Sheet1,F545,2,-2,dst.xlsx,Sheet1,G121,-2,-2
src.xlsx,Sheet1,D449,1,3,dst.xlsx,Sheet1,H387,-1,3
src.xlsx,Sheet1,D769,3,2,dst.xlsx,Sheet1,A810,-3,0
src.xlsx,Sheet1,H137,2,1,dst.xlsx,Sheet1,C803,-3,-2
src.xlsx,Sheet1,D839,3,0,dst.xlsx,Sheet1,D119,1,2
src.xlsx,Sheet1,D24,3,1,dst.xlsx,Sheet1,D556,0,2
src.xlsx,Sheet1,G832,-2,3,dst.xlsx,Sheet1,G58,-2,-1
src.xlsx,Sheet1,F997,3,1,dst.xlsx,Sheet1,A240,-1,1
src.xlsx,Sheet1,A945,3,2,dst.xlsx,Sheet1,C11,-1,-1
src.xlsx,Sheet1,C39,2,3,dst.xlsx,Sheet1,F350,1,-2
src.xlsx,Sheet1,B280,3,-1,dst.xlsx,Sheet1,J386,-3,-2
src.xlsx,Sheet1,A96,1,2,dst.xlsx,Sheet1,C47,-2,-2
src.xlsx,Sheet1,J863,-3,1,dst.xlsx,Sheet1,H672,-1,-2
src.xlsx,Sheet1,I573,-2,1,dst.xlsx,Sheet1,C627,-1,2
src.xlsx,Sheet1,D989,2,-2,dst.xlsx,Sheet1,I818,0,3
src.xlsx,Sheet1,I516,2,3,dst.xlsx,Sheet1,H349,-3,-2
src.xlsx,Sheet1,B656,0,-2,dst.xlsx,Sheet1,A105,-2,-2
src.xlsx,Sheet1,J855,3,-3,dst.xlsx,Sheet1,A344,2,-1
src.xlsx,Sheet1,G311,-2,-3,dst.xlsx,Sheet1,J471,2,-2
src.xlsx,Sheet1,G768,2,-1,dst.xlsx,Sheet1,A330,3,-3
src.xlsx,Sheet1,E390,-2,-1,dst.xlsx,Sheet1,C784,-3,3
src.xlsx,Sheet1,H166,-1,-2,dst.xlsx,Sheet1,D699,-3,1
src.xlsx,Sheet1,J333,3,-3,dst.xlsx,Sheet1,E111,1,0
src.xlsx,Sheet1,I781,3,0,dst.xlsx,Sheet1,I270,-1,2
src.xlsx,Sheet1,A698,1,-3,dst.xlsx,Sheet1,I250,1,1
src.xlsx,Sheet1,J548,1,-2,dst.xlsx,Sheet1,H261,1,3
src.xlsx,Sheet1,C288,-1,-3,dst.xlsx,Sheet1,C614,1,0
src.xlsx,Sheet1,D915,-3,-3,dst.xlsx,Sheet1,J889,-3,-1
src.xlsx,Sheet1,G592,3,-1,dst.xlsx,Sheet1,C465,-1,3
src.xlsx,Sheet1,D834,-1,1,dst.xlsx,Sheet1,I330,-3,-3
src.xlsx,Sheet1,I962,-2,0,dst.xlsx,Sheet1,E359,-1,-1
src.xlsx,Sheet1,D439,2,3,dst.xlsx,Sheet1,F662,-1,-3
src.xlsx,Sheet1,B488,-3,-1,dst.xlsx,Sheet1,B378,2,3
src.xlsx,Sheet1,A167,-2,3,dst.xlsx,Sheet1,J460,-2,2
src.xlsx,Sheet1,B489,-3,0,dst.xlsx,Sheet1,H79,0,-2
src.xlsx,Sheet1,G806,0,-3,dst.xlsx,Sheet1,E682,0,0
src.xlsx,Sheet1,F642,3,0,dst.xlsx,Sheet1,I233,0,-2
src.xlsx,Sheet1,G32,2,0,dst.xlsx,Sheet1,G392,0,-1
src.xlsx,Sheet1,D563,0,3,dst.xlsx,Sheet1,A633,-3,1
src.xlsx,Sheet1,A180,2,1,dst.xlsx,Sheet1,I170,-1,-1
src.xlsx,Sheet1,H982,0,-1,dst.xlsx,Sheet1,B115,0,0
src.xlsx,Sheet1,H292,0,-1,dst.xlsx,Sheet1,A381,-2,-1
src.xlsx,Sheet1,C47,3,1,dst.xlsx,Sheet1,E941,2,0
src.xlsx,Sheet1,B767,3,3,dst.xlsx,Sheet1,D634,0,-1
src.xlsx,Sheet1,G879,3,2,dst.xlsx,Sheet1,D908,0,-1
src.xlsx,Sheet1,H135,-2,-3,dst.xlsx,Sheet1,E959,3,3
src.xlsx,Sheet1,H941,2,1,dst.xlsx,Sheet1,H619,2,-2
src.xlsx,Sheet1,I895,3,2,dst.xlsx,Sheet1,G287,0,-1
src.xlsx,Sheet1,C614,-3,0,dst.xlsx,Sheet1,D605,1,-3
src.xlsx,Sheet1,H112,-1,-3,dst.xlsx,Sheet1,E902,-3,-2
src.xlsx,Sheet1,I852,2,-3,dst.xlsx,Sheet1,A814,-3,-3
src.xlsx,Sheet1,H386,3,0,dst.xlsx,Sheet1,H665,-1,-2
src.xlsx,Sheet1,C483,-3,1,dst.xlsx,Sheet1,H895,0,-2
src.xlsx,Sheet1,H682,-1,-2,dst.xlsx,Sheet1,C866,-3,1
src.xlsx,Sheet1,G547,-3,-1,dst.xlsx,Sheet1,H712,-2,1
src.xlsx,Sheet1,I335,2,-3,dst.xlsx,Sheet1,J390,-1,-2
src.xlsx,Sheet1,E249,0,1,dst.xlsx,Sheet1,C862,-1,-2
src.xlsx,Sheet1,A802,1,0,dst.xlsx,Sheet1,F45,1,-3
src.xlsx,Sheet1,E905,2,2,dst.xlsx,Sheet1,I310,1,0
src.xlsx,Sheet1,H641,-3,3,dst.xlsx,Sheet1,I290,3,-3
src.xlsx,Sheet1,E222,1,0,dst.xlsx,Sheet1,D423,0,-2
src.xlsx,Sheet1,H425,-3,1,dst.xlsx,Sheet1,C707,3,1
src.xlsx,Sheet1,A432,-1,-2,dst.xlsx,Sheet1,F203,3,3
src.xlsx,Sheet1,C589,2,3,dst.xlsx,Sheet1,C644,-3,1
src.xlsx,Sheet1,D266,1,-3,dst.xlsx,Sheet1,J6,2,0
src.xlsx,Sheet1,B595,2,-3,dst.xlsx,Sheet1,F906,0,2
src.xlsx,Sheet1,H7,3,2,dst.xlsx,Sheet1,H616,-2,-1
src.xlsx,Sheet1,G922,-2,-3,dst.xlsx,Sheet1,I68,0,-3
src.xlsx,Sheet1,G714,2,0,dst.xlsx,Sheet1,F935,1,-3
src.xlsx,Sheet1,D472,3,-1,dst.xlsx,Sheet1,F790,-3,-3
src.xlsx,Sheet1,J755,0,2,dst.xlsx,Sheet1,A368,1,-1
src.xlsx,Sheet1,D273,3,2,dst.xlsx,Sheet1,J557,-3,3
src.xlsx,Sheet1,F255,1,0,dst.xlsx,Sheet1,H843,3,0
src.xlsx,Sheet1,I624,1,2,dst.xlsx,Sheet1,D60,3,0
src.xlsx,Sheet1,B541,1,3,dst.xlsx,Sheet1,J647,3,-3
src.xlsx,Sheet1,C185,0,-1,dst.xlsx,Sheet1,B674,-1,0
src.xlsx,Sheet1,F828,-2,3,dst.xlsx,Sheet1,I488,3,0
src.xlsx,Sheet1,G771,-1,-1,dst.xlsx,Sheet1,F20,2,3
src.xlsx,Sheet1,A168,0,-2,dst.xlsx,Sheet1,G196,-2,-3
src.xlsx,Sheet1,J638,-1,-3,dst.xlsx,Sheet1,F137,-2,-1
src.xlsx,Sheet1,B581,-2,0,dst.xlsx,Sheet1,I157,-3,-1
src.xlsx,Sheet1,D324,0,-1,dst.xlsx,Sheet1,I844,0,2
src.xlsx,Sheet1,G966,0,3,dst.xlsx,Sheet1,G526,1,0
src.xlsx,Sheet1,I705,2,-2,dst.xlsx,Sheet1,G658,-1,-2
src.xlsx,Sheet1,D108,3,3,dst.xlsx,Sheet1,H429,-3,2
src.xlsx,Sheet1,D84,1,-2,dst.xlsx,Sheet1,I438,1,1
src.xlsx,Sheet1,I181,-3,1,dst.xlsx,Sheet1,A968,-2,3
src.xlsx,Sheet1,D312,-2,3,dst.xlsx,Sheet1,J872,1,-3
src.xlsx,Sheet1,C992,3,1,dst.xlsx,Sheet1,H496,-1,-3
src.xlsx,Sheet1,A445,3,2,dst.xlsx,Sheet1,D144,-1,3
src.xlsx,Sheet1,A107,2,3,dst.xlsx,Sheet1,C785,2,-3
src.xlsx,Sheet1,G494,-2,-1,dst.xlsx,Sheet1,H552,1,3
src.xlsx,Sheet1,J283,2,1,dst.xlsx,Sheet1,B664,1,0
src.xlsx,Sheet1,H354,3,3,dst.xlsx,Sheet1,E95,-2,-2
src.xlsx,Sheet1,F221,-3,2,dst.xlsx,Sheet1,I993,0,0
src.xlsx,Sheet1,C982,2,1,dst.xlsx,Sheet1,E412,3,-2
src.xlsx,Sheet1,H108,-1,0,dst.xlsx,Sheet1,A234,2,3
src.xlsx,Sheet1,H904,-2,3,dst.xlsx,Sheet1,J529,1,3
src.xlsx,Sheet1,H369,3,0,dst.xlsx,Sheet1,C863,-2,-2
src.xlsx,Sheet1,I886,-2,3,dst.xlsx,Sheet1,B324,-3,2
src.xlsx,Sheet1,J949,3,-2,dst.xlsx,Sheet1,G557,2,3
src.xlsx,Sheet1,G230,-2,2,dst.xlsx,Sheet1,C759,-2,2
src.xlsx,Sheet1,E952,-2,-1,dst.xlsx,Sheet1,F496,0,3
src.xlsx,Sheet1,H401,-1,2,dst.xlsx,Sheet1,F419,-2,3
src.xlsx,Sheet1,B570,-1,0,dst.xlsx,Sheet1,A164,-1,1
src.xlsx,Sheet1,I462,-3,1,dst.xlsx,Sheet1,D966,-2,1
src.xlsx,Sheet1,G192,1,-3,dst.xlsx,Sheet1,B354,0,-1
src.xlsx,Sheet1,A584,-1,1,dst.xlsx,Sheet1,J390,-1,0
src.xlsx,Sheet1,B129,1,3,dst.xlsx,Sheet1,E484,0,-3
src.xlsx,Sheet1,F855,-2,1,dst.xlsx,Sheet1,A623,-1,-2
src.xlsx,Sheet1,A115,2,0,dst.xlsx,Sheet1,F678,2,1
src.xlsx,Sheet1,I37,3,1,dst.xlsx,Sheet1,G733,2,-2
src.xlsx,Sheet1,J723,1,-2,dst.xlsx,Sheet1,C507,0,2
src.xlsx,Sheet1,F831,-2,3,dst.xlsx,Sheet1,D996,1,2
src.xlsx,Sheet1,E430,2,0,dst.xlsx,Sheet1,D318,-2,-2
src.xlsx,Sheet1,E561,-2,3,dst.xlsx,Sheet1,B622,0,-2
src.xlsx,Sheet1,J701,-1,-3,dst.xlsx,Sheet1,C342,-3,2
src.xlsx,Sheet1,G399,-3,1,dst.xlsx,Sheet1,D987,-3,0
src.xlsx,Sheet1,G453,0,-3,dst.xlsx,Sheet1,G562,-1,1
src.xlsx,Sheet1,C42,0,3,dst.xlsx,Sheet1,H30,-3,-3
src.xlsx,Sheet1,H258,-1,-1,dst.xlsx,Sheet1,E558,-2,-3
src.xlsx,Sheet1,A450,-3,-1,dst.xlsx,Sheet1,F668,3,2
src.xlsx,Sheet1,H285,2,-2,dst.xlsx,Sheet1,E790,-3,-3
src.xlsx,Sheet1,J540,3,3,dst.xlsx,Sheet1,A848,-1,-1
src.xlsx,Sheet1,E526,2,2,dst.xlsx,Sheet1,A807,2,-1
src.xlsx,Sheet1,D337,-2,2,dst.xlsx,Sheet1,D212,3,0
src.xlsx,Sheet1,I23,-2,0,dst.xlsx,Sheet1,H190,2,0
src.xlsx,Sheet1,G498,0,-1,dst.xlsx,Sheet1,C962,1,-1
src.xlsx,Sheet1,A800,-3,-2,dst.xlsx,Sheet1,A551,0,3
src.xlsx,Sheet1,F280,-3,-3,dst.xlsx,Sheet1,G506,-1,0
src.xlsx,Sheet1,F461,1,3,dst.xlsx,Sheet1,A955,-1,2
src.xlsx,Sheet1,A665,1,-1,dst.xlsx,Sheet1,C600,0,0
src.xlsx,Sheet1,G663,-1,-3,dst.xlsx,Sheet1,A399,1,0
src.xlsx,Sheet1,D294,2,-1,dst.xlsx,Sheet1,I68,-3,2
src.xlsx,Sheet1,A124,0,2,dst.xlsx,Sheet1,J636,1,1
src.xlsx,Sheet1,H697,-2,-2,dst.xlsx,Sheet1,G762,3,0
src.xlsx,Sheet1,B531,3,-1,dst.xlsx,Sheet1,E782,3,2
src.xlsx,Sheet1,C690,2,3,dst.xlsx,Sheet1,H588,3,-2
src.xlsx,Sheet1,H232,-2,1,dst.xlsx,Sheet1,C244,2,1
src.xlsx,Sheet1,G512,2,0,dst.xlsx,Sheet1,I514,1,1
src.xlsx,Sheet1,F374,0,1,dst.xlsx,Sheet1,D624,-3,-2
src.xlsx,Sheet1,C735,-1,0,dst.xlsx,Sheet1,B454,1,-3
src.xlsx,Sheet1,I746,1,2,dst.xlsx,Sheet1,H401,-1,-1
src.xlsx,Sheet1,I115,-2,-2,dst.xlsx,Sheet1,C727,-3,-3
src.xlsx,Sheet1,D419,-3,2,dst.xlsx,Sheet1,G760,0,-2
src.xlsx,Sheet1,F980,-3,-3,dst.xlsx,Sheet1,D600,-1,-1
src.xlsx,Sheet1,H214,0,0,dst.xlsx,Sheet1,B314,1,3
src.xlsx,Sheet1,A212,1,1,dst.xlsx,Sheet1,B636,-3,3
src.xlsx,Sheet1,H640,3,0,dst.xlsx,Sheet1,J412,1,2
src.xlsx,Sheet1,F136,-2,-2,dst.xlsx,Sheet1,H571,-1,-1
src.xlsx,Sheet1,C90,1,2,dst.xlsx,Sheet1,E175,-1,0
src.xlsx,Sheet1,G94,1,0,dst.xlsx,Sheet1,C18,3,-2
src.xlsx,Sheet1,F837,0,1,dst.xlsx,Sheet1,E747,0,2
src.xlsx,Sheet1,D841,3,1,dst.xlsx,Sheet1,D775,-1,-1
src.xlsx,Sheet1,C125,-3,0,dst.xlsx,Sheet1,G582,-3,3
src.xlsx,Sheet1,D536,-2,-1,dst.xlsx,Sheet1,G966,-3,-2
src.xlsx,Sheet1,B631,-2,-3,dst.xlsx,Sheet1,J293,3,0
src.xlsx,Sheet1,F17,2,-1,dst.xlsx,Sheet1,F590,-1,-1
src.xlsx,Sheet1,I83,2,1,dst.xlsx,Sheet1,B600,1,0
src.xlsx,Sheet1,F752,-3,3,dst.xlsx,Sheet1,C368,-3,1
src.xlsx,Sheet1,B928,-2,-2,dst.xlsx,Sheet1,H939,1,-2
src.xlsx,Sheet1,I701,3,-2,dst.xlsx,Sheet1,B503,3,3
src.xlsx,Sheet1,D781,-3,3,dst.xlsx,Sheet1,I18,-2,-3
src.xlsx,Sheet1,C115,1,-2,dst.xlsx,Sheet1,G632,-3,-1
src.xlsx,Sheet1,G992,2,3,dst.xlsx,Sheet1,I964,1,1
src.xlsx,Sheet1,H278,1,1,dst.xlsx,Sheet1,J379,2,-2
src.xlsx,Sheet1,H527,0,1,dst.xlsx,Sheet1,F700,3,0
src.xlsx,Sheet1,I295,-2,0,dst.xlsx,Sheet1,E533,-2,2
src.xlsx,Sheet1,B788,2,-3,dst.xlsx,Sheet1,C233,-1,-1
src.xlsx,Sheet1,H405,0,3,dst.xlsx,Sheet1,A261,0,-2
src.xlsx,Sheet1,J23,-3,0,dst.xlsx,Sheet1,H244,-2,-3
src.xlsx,Sheet1,G407,2,3,dst.xlsx,Sheet1,J93,0,-3
src.xlsx,Sheet1,H585,-1,-2,dst.xlsx,Sheet1,C398,-3,3
src.xlsx,Sheet1,H846,2,0,dst.xlsx,Sheet1,E74,0,-3
src.xlsx,Sheet1,I363,-1,2,dst.xlsx,Sheet1,D162,3,-1
src.xlsx,Sheet1,H920,-1,-3,dst.xlsx,Sheet1,C864,0,-2
src.xlsx,Sheet1,D299,-3,-2,dst.xlsx,Sheet1,H340,0,1
src.xlsx,Sheet1,I979,0,0,dst.xlsx,Sheet1,F830,1,-1
src.xlsx,Sheet1,C854,-3,2,dst.xlsx,Sheet1,H652,3,-1
src.xlsx,Sheet1,I87,2,1,dst.xlsx,Sheet1,B151,0,-2
src.xlsx,Sheet1,H87,1,-2,dst.xlsx,Sheet1,I278,-1,-1
src.xlsx,Sheet1,F393,-2,-3,dst.xlsx,Sheet1,J412,2,0
src.xlsx,Sheet1,G898,-2,-3,dst.xlsx,Sheet1,J521,-3,3
src.xlsx,Sheet1,F232,-1,-1,dst.xlsx,Sheet1,A204,1,3
src.xlsx,Sheet1,B764,-2,-1,dst.xlsx,Sheet1,J452,-3,3
src.xlsx,Sheet1,I777,-2,2,dst.xlsx,Sheet1,G101,1,1
